Comunidades y ciudades autónomas de residencia,Sexo,Medio empleado,Total
Comunitat Valenciana,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,9.0
Comunitat Valenciana,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Comunitat Valenciana,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,87.0
Comunitat Valenciana,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,3.0
Comunitat Valenciana,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,2.0
Comunitat Valenciana,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Comunitat Valenciana,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Comunitat Valenciana,Mujeres,Total,117.0
Comunitat Valenciana,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",1.0
Comunitat Valenciana,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",11.0
Comunitat Valenciana,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
Comunitat Valenciana,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,2.0
Comunitat Valenciana,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",3.0
Comunitat Valenciana,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,1.0
Comunitat Valenciana,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Comunitat Valenciana,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,1.0
Comunitat Valenciana,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,1.0
Comunitat Valenciana,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",12.0
Comunitat Valenciana,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",30.0
Comunitat Valenciana,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,1.0
Comunitat Valenciana,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,1.0
Comunitat Valenciana,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
Comunitat Valenciana,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Comunitat Valenciana,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Comunitat Valenciana,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",1.0
Comunitat Valenciana,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Comunitat Valenciana,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,1.0
Comunitat Valenciana,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Comunitat Valenciana,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,48.0
Comunitat Valenciana,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,3.0
Comunitat Valenciana,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Comunitat Valenciana,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Comunitat Valenciana,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Extremadura,Ambos sexos,Total,95.0
Extremadura,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Extremadura,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",1.0
Extremadura,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
Extremadura,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Extremadura,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",3.0
Extremadura,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Extremadura,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,1.0
Extremadura,Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
Extremadura,Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,1.0
Extremadura,Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",2.0
Extremadura,Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",62.0
Extremadura,Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,3.0
Extremadura,Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,2.0
Extremadura,Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",2.0
Extremadura,Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",4.0
Extremadura,Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Extremadura,Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",1.0
Extremadura,Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Extremadura,Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,0.0
Extremadura,Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Extremadura,Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,10.0
Extremadura,Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Extremadura,Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,1.0
Extremadura,Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Extremadura,Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,2.0
Extremadura,Hombres,Total,74.0
Extremadura,Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Extremadura,Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",0.0
Extremadura,Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
Extremadura,Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Extremadura,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",0.0
Extremadura,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Extremadura,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,1.0
Extremadura,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
Extremadura,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,1.0
Extremadura,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",1.0
Extremadura,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",51.0
Extremadura,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,2.0
Extremadura,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,2.0
Extremadura,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",2.0
Extremadura,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",4.0
Extremadura,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Extremadura,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Extremadura,Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Extremadura,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,0.0
Extremadura,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Extremadura,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,9.0
Extremadura,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Extremadura,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Extremadura,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Extremadura,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,1.0
Extremadura,Mujeres,Total,21.0
Extremadura,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Extremadura,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",1.0
Extremadura,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
Extremadura,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Extremadura,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",3.0
Extremadura,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Extremadura,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Extremadura,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
Extremadura,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Extremadura,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",1.0
Extremadura,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",11.0
Extremadura,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,1.0
Extremadura,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
Extremadura,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
Extremadura,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Extremadura,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Extremadura,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",1.0
Extremadura,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Extremadura,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,0.0
Extremadura,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Extremadura,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,1.0
Extremadura,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Extremadura,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,1.0
Extremadura,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Extremadura,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,1.0
Galicia,Ambos sexos,Total,328.0
Galicia,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",4.0
Galicia,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",23.0
Galicia,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",5.0
Galicia,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,1.0
Galicia,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",11.0
Galicia,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Galicia,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Galicia,Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,2.0
Galicia,Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,1.0
Galicia,Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",1.0
Galicia,Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",177.0
Galicia,Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,16.0
Galicia,Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,6.0
Galicia,Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",6.0
Galicia,Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",3.0
Galicia,Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Galicia,Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",1.0
Galicia,Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Galicia,Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,8.0
Galicia,Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Galicia,Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,57.0
Galicia,Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,3.0
Galicia,Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,2.0
Galicia,Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,1.0
Galicia,Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Galicia,Hombres,Total,236.0
Galicia,Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",3.0
Galicia,Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",10.0
Galicia,Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",1.0
Galicia,Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,1.0
Galicia,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",5.0
Galicia,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Galicia,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Galicia,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,2.0
Galicia,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Galicia,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",1.0
Galicia,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",147.0
Galicia,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,9.0
Galicia,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,4.0
Galicia,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",6.0
Galicia,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",3.0
Galicia,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Galicia,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Galicia,Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Galicia,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,7.0
Galicia,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Galicia,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,32.0
Galicia,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,2.0
Galicia,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,2.0
Galicia,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,1.0
Galicia,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Galicia,Mujeres,Total,92.0
Galicia,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",1.0
Galicia,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",13.0
Galicia,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",4.0
Galicia,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Galicia,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",6.0
Galicia,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Galicia,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Galicia,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
Galicia,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,1.0
Galicia,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
Galicia,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",30.0
Galicia,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,7.0
Galicia,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,2.0
Galicia,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
Galicia,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Galicia,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Galicia,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",1.0
Galicia,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Galicia,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,1.0
Galicia,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Galicia,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,25.0
Galicia,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,1.0
Galicia,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Galicia,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Galicia,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
"Madrid, Comunidad de",Ambos sexos,Total,403.0
"Madrid, Comunidad de",Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",1.0
"Madrid, Comunidad de",Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",2.0
"Madrid, Comunidad de",Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",2.0
"Madrid, Comunidad de",Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,1.0
"Madrid, Comunidad de",Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",47.0
"Madrid, Comunidad de",Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
"Madrid, Comunidad de",Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
"Madrid, Comunidad de",Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,4.0
"Madrid, Comunidad de",Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
"Madrid, Comunidad de",Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",8.0
"Madrid, Comunidad de",Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",132.0
"Madrid, Comunidad de",Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,2.0
"Madrid, Comunidad de",Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,2.0
"Madrid, Comunidad de",Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",4.0
"Madrid, Comunidad de",Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",20.0
"Madrid, Comunidad de",Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
"Madrid, Comunidad de",Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",3.0
"Madrid, Comunidad de",Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Madrid, Comunidad de",Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,13.0
"Madrid, Comunidad de",Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Madrid, Comunidad de",Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,143.0
"Madrid, Comunidad de",Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,14.0
"Madrid, Comunidad de",Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Madrid, Comunidad de",Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
"Madrid, Comunidad de",Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,5.0
"Madrid, Comunidad de",Hombres,Total,270.0
"Madrid, Comunidad de",Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
"Madrid, Comunidad de",Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",1.0
"Madrid, Comunidad de",Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",2.0
"Madrid, Comunidad de",Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,1.0
"Madrid, Comunidad de",Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",26.0
"Madrid, Comunidad de",Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
"Madrid, Comunidad de",Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
"Madrid, Comunidad de",Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,2.0
"Madrid, Comunidad de",Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
"Madrid, Comunidad de",Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",5.0
"Madrid, Comunidad de",Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",99.0
"Madrid, Comunidad de",Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,2.0
"Madrid, Comunidad de",Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,2.0
"Madrid, Comunidad de",Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",4.0
"Madrid, Comunidad de",Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",20.0
"Madrid, Comunidad de",Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
"Madrid, Comunidad de",Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",2.0
"Madrid, Comunidad de",Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Madrid, Comunidad de",Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,10.0
"Madrid, Comunidad de",Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Madrid, Comunidad de",Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,79.0
"Madrid, Comunidad de",Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,11.0
"Madrid, Comunidad de",Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Madrid, Comunidad de",Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
"Madrid, Comunidad de",Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,4.0
"Madrid, Comunidad de",Mujeres,Total,133.0
